Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Swift Tracker,Standard Slayer,11,,"a slayer can move athis normal speed while using Survival to follow trackswithout taking the normal –5 penalty. When moving atup to twice normal speed while tracking, he takes only a–10 penalty instead of the normal –20.",Slayer,0,,,
Slayer’s Advance,Standard Slayer,13,,"Once per day,a slayer can move up to twice his base speed as a moveaction. He may use Stealth as part of this movement, buttakes a –10 penalty to his check for doing so. At 17th level,he can do this twice per day.",Slayer,0,,,
Quarry,Standard Slayer,14,,"A slayer can, as a standard action, denote one target within his line of sight as his quarry. Whenever he is following the tracks of his quarry,a slayer can take 10 on his Survival skill checks whilemoving at normal speed, without penalty. In addition, hereceives a +2 insight bonus on attack rolls made agains this quarry, and all critical threats are automatically confirmed. A slayer can have no more than one quarry at a time and the creature’s type must correspond to one ofhis favored enemy types. He can dismiss this effect at any time as a free action, but he cannot select a new quarry for24 hours. If the slayer sees proof that his quarry is dead,he can select a new quarry after waiting 1 hour.",Slayer,0,,,
Improved Quarry,Standard Slayer,19,,"The slayer’s abilityto hunt his quarry improves. He can now select a quarry as a free action, and can now take 20 while using Survivalto track his quarry, while moving at normal speed withoutpenalty. His insight bonus to attack his quarry increasesto +4. If his quarry is killed or dismissed, he can select anew one after 10 minutes have passed.",Slayer,0,,,
Master Slayer,Standard Slayer,20,,"You are a master at killing or capturing his favored targets. As a standard action, he can make a single attack against a favored target at his full attack bonus, and choose one of the following effects: kill, knock unconscious for 1d4hours, or paralyze for 2d6 rounds. If the attack hits, thetarget takes damage normally and must succeed at aFortitude saving throw (DC = 10 + 1/2 the slayer’s level +the slayer’s Intelligence modifier) or suffer the additionaleffect. Whether the target succeeded, it cannot be targetedby this ability (by any slayer) for 24 hours.",Slayer,0,,,
Bloodline,Standard Sorcerer,1,,"Each sorcerer has a source of magic somewhere in her heritage that grants her spells, bonus feats, an additional class skill, and other special abilities. This source can represent a blood relation or an extreme event involving a creature somewhere in the family's past.",Sorcerer,1,,,
Weapon And Armor Proficiency,Standard Sorcerer,1,,"Sorcerers are proficient with all simple weapons. They are not proficient with any type of armor or shield. Armor interferes with a sorcerer's gestures, which can cause her spells with somatic components to fail (see Arcane Spells and Armor).",Sorcerer,1,,,
Spells,Standard Sorcerer,1,,,Sorcerer,1,,,
Cantrips,Standard Sorcerer,1,,"Sorcerers learn a number of cantrips, or 0-level spells.",Sorcerer,1,,,
Eschew Materials,Standard Sorcerer,1,,A sorcerer gains Eschew Materials as a bonus feat at 1st level.,Sorcerer,1,,,
Cantrips,Standard Summoner,1,,Unlimited 0 level spell casts per day.,Summoner,1,,,
Eidolon,Standard Summoner,1,,Summon a powerful outsider to aid you.,Summoner,0,,,
Life Link,Standard Summoner,1,,Sacrifice health to prevent damage to eidolon. 1 to 1 ratio.,Summoner,0,,,
Spells,Standard Summoner,1,,Can cast spells without preparing them ahead of time. Max spells per day {0},Summoner,1,,,
Summon Monster I,Standard Summoner,1,,As spell but standard action.,Summoner,1,,,
Bond Senses,Standard Summoner,2,,Sense as the eidolon by using a standard action. Swift action to dismiss effect.,Summoner,0,,,
Summon Monster II,Standard Summoner,3,,As spell but standard action.,Summoner,1,,,
Shield Ally,Standard Summoner,4,,+2 Shield bonus and +2 circumstance to saving throws while in reach of eidolon.,Summoner,0,,,
Summon Monster III,Standard Summoner,5,,As spell but standard action.,Summoner,1,,,
Makers Call,Standard Summoner,6,,Summon eidolon to your side using a standard action as Dimension Door.,Summoner,0,,,
Summon Monster IV,Standard Summoner,7,,As spell but standard action.,Summoner,1,,,
Transposition,Standard Summoner,8,,Use makers call to switch positions with the eidolon.,Summoner,0,,,
Summon Monster V,Standard Summoner,9,,As spell but standard action.,Summoner,1,,,
Aspect,Standard Summoner,10,,Transfer 2 points of eidolons evolution to self.,Summoner,0,,,
Summon Monster VI,Standard Summoner,11,,As spell but standard action.,Summoner,1,,,
Greater Shield Ally,Standard Summoner,12,,Allies receive shield ally ability. If ally is the summoner bonus raises to +4 for shield and saving throws.,Summoner,0,,,
Summon Monster VII,Standard Summoner,13,,As spell but standard action.,Summoner,1,,,
Life Bond,Standard Summoner,14,,Damage that would reduce summoner to fewer then 0 hit points is transfered to eidolon.,Summoner,0,,,
Summon Monster VIII,Standard Summoner,15,,As spell but standard action.,Summoner,1,,,
Merge Forms,Standard Summoner,16,,Merge with eidolon to become protected from harm. Summoner cannot be targeted.,Summoner,0,,,
Summon Monster IX,Standard Summoner,17,,As spell but standard action.,Summoner,1,,,
Greater Aspect,Standard Summoner,18,,For every point of evolution sacrificed by the eidolon the Summoner gains 2 (max 6),Summoner,0,,,
Gate,Standard Summoner,19,,As spell,Summoner,0,,,
Twin Eidolon,Standard Summoner,20,,"Summoner can assume the shape of the Eidolon gainings its str, dex, con, and abilities.",Summoner,0,,,
Panache,Standard Swashbuckler,1,,"More than just a lightly armored warrior, a swashbuckler is a daring combatant. She fights with panache: a f luctuating measure of a swashbuckler’s ability to perform amazing actions in combat. At the start of each day, a swashbuckler gains a number of panache points equal to her Charisma modifier ({0}). Her panache goes up or down throughout the day, but usually cannot go higher than {0}, though feats and magic items can affect this maximum. A swashbuckler spends panache to accomplish deeds (see below), and regains panache in the following ways.",Swashbuckler,1,,,
Deeds,Standard Swashbuckler,1,,,Swashbuckler,1,,,
Bravery,Standard Swashbuckler,2,,+{0} on Will saves against fear.,Swashbuckler,1,,,
Swashbuckler Finesse,Standard Swashbuckler,2,,"At 2nd level, a swashbuckler gains the benefits of the Weapon Finesse feat with light or one-handed piercing melee weapons, as well as gains a +4 bonus to her CMD on disarm, steal, and sunder attempts made against these weapons.",Swashbuckler,1,,,
